,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
124,"HIGHEST IN THE ROOM","Travis Scott",943108,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
125,Perfect,"Ed Sheeran",940975,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
126,HOLIDAY,"Lil Nas X",940383,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
127,Polvo,"Nicky Jam",931713,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
128,"Take Me To Church",Hozier,926574,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
129,"Vida de Rico",Camilo,925425,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
130,"In Your Eyes","The Weeknd",921768,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
131,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",921263,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
132,"Say You Won't Let Go","James Arthur",918879,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
133,Dior,"Pop Smoke",916426,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
134,Robbery,"Juice WRLD",911600,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
135,willow,"Taylor Swift",911190,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
136,"Jocelyn Flores",XXXTENTACION,908438,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
137,"Life Is Good (feat. Drake)",Future,907723,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
138,"Una Locura",Ozuna,903859,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
139,"Daddy Issues","The Neighbourhood",896955,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
140,"Ride It",Regard,896649,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
141,"La Tóxica",Farruko,893865,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
142,Hayloft,"Mother Mother",892779,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
143,"DAYWALKER! (feat. CORPSE)","Machine Gun Kelly",892409,https://open.spotify.com/track/2NnJpRXIlx35Vij3bPZO0h
144,Falling,"Trevor Daniel",892175,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
145,"Every Breath You Take","The Police",887644,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
146,"Parce (feat. Justin Quiles)",Maluma,880967,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
147,Tusa,"KAROL G",879485,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
148,"Come & Go (with Marshmello)","Juice WRLD",879092,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
149,"Patience (feat. YUNGBLUD & Polo G)",KSI,872497,https://open.spotify.com/track/5J5CpT6bgE6KYKk23jgp9W
150,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",868586,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
151,"SICKO MODE","Travis Scott",866265,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
152,"All Girls Are The Same","Juice WRLD",864996,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
153,"Somebody That I Used To Know",Gotye,864980,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
154,"Martin & Gina","Polo G",863709,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
155,Starboy,"The Weeknd",860729,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
156,"Break My Heart","Dua Lipa",857802,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
157,"All of Me","John Legend",856179,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
158,"Do I Wanna Know?","Arctic Monkeys",852784,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
159,SAD!,XXXTENTACION,851850,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
160,"POPSTAR (feat. Drake)","DJ Khaled",849791,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
161,"Just the Way You Are","Bruno Mars",848533,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
162,"Ponte Pa' Mi","Justin Quiles",847421,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
163,"La Curiosidad","Jay Wheeler",847026,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
164,"Rain On Me (with Ariana Grande)","Lady Gaga",841804,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
165,"Another One Bites The Dust - Remastered 2011",Queen,840898,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
166,"Train Wreck","James Arthur",838111,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
167,"7 rings","Ariana Grande",838096,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
